[GIN] 2019/07/27 - 18:14:38 | 200 |    2.977857ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:39 | 200 |    3.176478ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:39 | 200 |    2.022683ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:14:39 | 200 |    1.347427ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:14:40 | 200 |    2.803947ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:40 | 200 |    2.752936ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:14:46 | 200 |    4.013953ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:46 | 200 |    3.928137ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:14:46 | 200 |    1.000782ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:14:47 | 200 |    2.498427ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:47 | 200 |    2.365723ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:14:48 | 200 |    2.942101ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:48 | 200 |    2.823599ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:49 | 200 |    5.158533ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:14:49 | 200 |    1.980768ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:14:49 | 200 |     987.105µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:14:50 | 200 |    1.830584ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:14:50 | 200 |    4.677083ms |       127.0.0.1 | GET      /setting
